Rank,Name,Pos,Attempts,Comps,Pass TDs,Pass Yards,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections
125,Tucker Kraft,TE,,,,,,60.0,625.5,5.0,,,1.0,150.55
126,Colston Loveland,TE,,,,,,62.0,638.0,4.0,,,1.0,147.8
127,Joshua Palmer,WR,,,,,,48.0,696.0,5.0,,,,147.6
128,Evan Engram,TE,,,,,,68.0,575.5,4.0,,,1.0,147.55
129,Zach Charbonnet,RB,,,,,,39.0,285.0,1.0,475.5,4.0,1.0,143.05
130,Cedric Tillman,WR,,,,,,51.0,671.0,4.0,7.0,,,142.8
131,Tyler Warren,TE,,,,,,57.0,550.5,5.0,21.0,,1.0,142.15
132,Chig Okonkwo,TE,,,,,,59.0,605.0,4.0,6.0,,1.0,142.1
133,DeMario Douglas,WR,,,,,,58.0,616.0,3.0,44.0,,,142.0
134,Jordan Mason,RB,,,,,,20.0,140.0,1.0,715.0,5.0,,141.5
135,Jake Ferguson,TE,,,,,,63.0,550.5,4.0,,,1.0,140.05
136,Wan'Dale Robinson,WR,,,,,,63.0,585.0,3.0,23.0,,1.0,139.8
137,Dalton Kincaid,TE,,,,,,59.0,575.5,4.0,,,1.0,138.55
138,Dallas Goedert,TE,,,,,,58.0,575.5,4.0,4.0,,1.0,137.95
139,Rhamondre Stevenson,RB,,,,,,27.0,190.0,1.0,625.5,4.0,1.0,136.55
140,Hollywood Brown,WR,,,,,,49.0,575.5,5.0,,,,136.55
141,Tre' Harris,WR,,,,,,48.0,641.0,4.0,5.0,,1.0,134.6
142,Marvin Mims,WR,,,,,,49.0,525.5,5.0,48.0,,1.0,134.35
143,Luther Burden,WR,,,,,,47.0,540.0,4.0,47.0,1.0,1.0,133.7
144,Adam Thielen,WR,,,,,,56.0,550.5,4.0,5.0,,1.0,133.55
145,Joe Flacco,QB,320.0,201.0,13.0,2145.0,8.0,,,,35.0,1.0,3.0,133.3
146,Daniel Jones,QB,256.0,167.0,9.0,1737.0,6.0,,,,275.0,2.0,3.0,132.98
147,Cam Skattebo,RB,,,,,,28.0,212.0,1.0,525.0,4.0,1.0,131.7
148,Hunter Henry,TE,,,,,,53.0,564.0,4.0,,,1.0,131.4
149,Rashod Bateman,WR,,,,,,45.0,550.5,5.0,,,,130.05
150,Jaylen Wright,RB,,,,,,24.0,174.0,1.0,545.0,5.0,1.0,129.9
151,Austin Ekeler,RB,,,,,,36.0,275.0,2.0,382.0,3.0,1.0,129.7
152,Kyle Pitts,TE,,,,,,50.0,550.5,4.0,,,,129.05
153,Brandon Aiyuk,WR,,,,,,44.0,630.0,4.0,,,1.0,129.0
154,Najee Harris,RB,,,,,,21.0,150.0,1.0,589.0,5.0,1.0,128.9
155,Tyjae Spears,RB,,,,,,35.0,260.0,1.0,457.0,3.0,1.0,128.7
156,Dyami Brown,WR,,,,,,46.0,575.0,4.0,11.0,,,128.6
157,Jonnu Smith,TE,,,,,,55.0,555.0,3.0,3.0,,1.0,126.8
158,Christian Kirk,WR,,,,,,48.0,543.0,4.0,9.0,,1.0,125.2
159,Keenan Allen,WR,,,,,,49.0,532.0,4.0,6.0,,1.0,124.8
160,Mike Gesicki,TE,,,,,,50.0,505.0,4.0,,,,124.5
161,Jaydon Blue,RB,,,,,,26.0,192.0,1.0,552.0,3.0,,124.4
162,Zach Ertz,TE,,,,,,51.0,489.0,4.0,,,,123.9
163,Mason Taylor,TE,,,,,,52.0,535.0,3.0,,,,123.5
164,Michael Wilson,WR,,,,,,45.0,532.0,4.0,5.0,,,122.7
165,Trey Benson,RB,,,,,,23.0,171.0,1.0,532.0,4.0,1.0,121.3
166,Brenton Strange,TE,,,,,,52.0,510.0,3.0,,,,121.0
167,Darren Waller,TE,,,,,,49.0,525.0,3.0,,,,119.5
168,Ray Davis,RB,,,,,,17.0,131.0,1.0,550.0,5.0,1.0,119.1
169,Juwan Johnson,TE,,,,,,50.0,505.0,3.0,,,,118.5
170,Brandon Aubrey,K,,,,,,,,,,,,118.0
171,Darius Slayton,WR,,,,,,40.0,595.0,3.0,,,,117.5
172,Quinshon Judkins,RB,,,,,,16.0,116.0,1.0,615.0,4.0,1.0,117.1
173,Rachaad White,RB,,,,,,31.0,235.0,1.0,401.0,3.0,1.0,116.6
174,Javonte Williams,RB,,,,,,24.0,166.0,1.0,500.5,3.0,,114.65
175,Romeo Doubs,WR,,,,,,41.0,510.0,4.0,,,1.0,114.0
176,Jerome Ford,RB,,,,,,33.0,242.0,1.0,405.0,2.0,1.0,113.7
177,Pat Freiermuth,TE,,,,,,50.0,475.0,3.0,,,1.0,113.5
178,Xavier Legette,WR,,,,,,39.0,550.5,3.0,20.0,,1.0,112.05
179,Ja'Tavion Sanders,TE,,,,,,47.0,465.0,3.0,,,,111.5
180,Tyler Allgeier,RB,,,,,,16.0,117.0,1.0,550.5,4.0,1.0,110.75
181,Diontae Johnson,WR,,,,,,45.0,490.0,3.0,7.0,,1.0,110.7
182,Elijah Arroyo,TE,,,,,,45.0,475.0,3.0,,,,110.5
183,Cade Otton,TE,,,,,,46.0,462.0,3.0,,,,110.2
184,Theo Johnson,TE,,,,,,45.0,470.0,3.0,,,,110.0
185,Rico Dowdle,RB,,,,,,29.0,208.0,1.0,373.0,3.0,1.0,109.1
186,Dylan Sampson,RB,,,,,,22.0,158.0,1.0,455.0,3.0,,107.3
187,BAL,DEF,,,,,,,,,,,,107.0
188,Jordan Whittington,WR,,,,,,41.0,452.0,3.0,28.0,,,107.0
189,PHI,DEF,,,,,,,,,,,,107.0
190,Jake Bates,K,,,,,,,,,,,,107.0
191,Spencer Rattler,QB,233.0,144.0,8.0,1577.0,6.0,,,,133.0,1.0,2.0,106.38
192,PIT,DEF,,,,,,,,,,,,106.0
193,HOU,DEF,,,,,,,,,,,,106.0
194,DEN,DEF,,,,,,,,,,,,106.0
195,Bhayshul Tuten,RB,,,,,,22.0,160.0,1.0,431.0,3.0,,105.1
196,MIN,DEF,,,,,,,,,,,,105.0
197,Dalton Schultz,TE,,,,,,45.0,435.0,3.0,,,1.0,104.5
198,BUF,DEF,,,,,,,,,,,,103.0
199,Cameron Dicker,K,,,,,,,,,,,,103.0
