,ModelPoints,ModelPoints
,sum,count
Name,,
Will Dissly,29.18,17
Will Grier,0.0,2
Will Shipley,35.659166666666664,17
Woody Marks,3.38,2
Xavier Gipson,-0.18,1
Xavier Legette,103.37467551020409,17
Xavier Restrepo,2.88,8
Xavier Worthy,229.45213750000002,17
Zach Charbonnet,105.73841924778759,17
Zach Ertz,75.53999999999999,17
Zay Flowers,239.66588962264152,17
Zay Jones,1.7999999999999998,5
