Name,Position,Team,Opp,Week,PassYds,PassTD,Int,RushYds,RushTD,Fum,ModelPoints,Projection,Rec,RecYds,RecTD
Zay Jones,WR,ARI,TEN,5.0,,,,0.35,0.0,0.0,0.36,0.0,0.65,7.59,0.06
Lil'Jordan Humphrey,WR,NYG,@NO,5.0,,,,0.0,0.0,0.0,0.36,0.0,0.69,7.29,0.06
Jake Bobo,WR,SEA,TB,5.0,,,,0.0,0.0,0.0,0.36,0.0,0.67,7.39,0.06
Tez Johnson,WR,TB,@SEA,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.8,9.2,0.0
Derius Davis,WR,LAC,WAS,5.0,,,,5.33,0.0,0.33,-0.99,0.0,0.67,7.33,0.0
Hunter Renfrow,WR,CAR,MIA,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.8,8.0,0.0
Devontez Walker,WR,BAL,HOU,5.0,,,,0.29,0.0,0.0,0.36,0.0,0.46,6.97,0.06
Sterling Shepard,WR,TB,@SEA,5.0,,,,0.29,0.0,0.0,1.12085625,0.0,0.57,5.49,0.06
David Moore,WR,CAR,MIA,5.0,,,,0.0,0.0,0.0,0.825103125,0.0,0.63,8.17,0.0
Ja'Marr Chase,WR,CIN,@GB,6.0,,,,1.33,0.0,0.06,12.600000000000001,0.0,6.52,85.93,0.63
CeeDee Lamb,WR,DAL,@CAR,6.0,,,,4.77,0.06,0.06,20.060709704968943,0.0,6.13,72.2,0.47
Puka Nacua,WR,LAR,@BAL,6.0,,,,4.41,0.06,0.06,20.25805633870349,0.0,5.71,72.82,0.41
Amon-Ra St. Brown,WR,DET,@KC,6.0,,,,0.7,0.0,0.06,10.64,0.0,6.15,71.16,0.47
Malik Nabers,WR,NYGQ,PHI,6.0,,,,1.99,0.0,0.06,19.054639338235294,0.0,5.79,72.56,0.45
Brian Thomas Jr.,WR,JAX,SEA,6.0,,,,1.01,0.0,0.06,10.52,0.0,5.34,72.45,0.45
Drake London,WR,ATL,BUF,6.0,,,,0.6,0.0,0.05,17.862983233532933,0.0,5.38,67.8,0.44
Ladd McConkey,WR,LAC,@MIA,6.0,,,,0.41,0.0,0.06,18.40182804878049,0.0,5.36,67.68,0.41
Tyreek Hill,WR,MIAQ,LAC,6.0,,,,1.88,0.0,0.05,17.43132716049383,0.0,5.09,66.48,0.43
A.J. Brown,WR,PHIQ,@NYG,6.0,,,,0.0,0.0,0.06,8.16,0.0,4.73,69.07,0.39
Garrett Wilson,WR,NYJ,DEN,6.0,,,,2.14,0.0,0.06,16.392609375,0.0,5.03,63.73,0.35
Terry McLaurin,WR,WAS,CHI,6.0,,,,0.35,0.0,0.06,16.710134146341463,0.0,4.67,65.39,0.41
Mike Evans,WR,TB,SF,6.0,,,,0.0,0.0,0.06,15.795041891891891,0.0,4.28,61.14,0.53
DJ Moore,WR,CHI,@WAS,6.0,,,,2.83,0.0,0.06,15.239621173469388,0.0,4.92,60.18,0.37
Rashee Rice,WR,KC,DET,6.0,,,,0.7,0.0,0.06,15.281541666666667,0.0,4.93,55.49,0.45
Tee Higgins,WR,CIN,@GB,6.0,,,,0.0,0.0,0.06,14.275568750000001,0.0,4.59,59.19,0.45
Jaxon Smith-Njigba,WR,SEA,@JAX,6.0,,,,1.7,0.0,0.06,7.92,0.0,5.16,56.95,0.35
Tetairoa McMillan,WR,CAR,DAL,6.0,,,,1.59,0.0,0.06,7.28,0.0,4.6,56.83,0.41
Travis Hunter,WR,JAXQ,SEA,6.0,,,,1.81,0.0,0.0,7.1,0.0,4.26,57.53,0.35
Xavier Worthy,WR,KC,DET,6.0,,,,5.45,0.06,0.06,13.417254166666668,0.0,4.03,49.75,0.41
Marvin Harrison Jr.,WR,ARI,@IND,6.0,,,,0.84,0.0,0.05,7.069999999999999,0.0,4.18,58.13,0.37
Davante Adams,WR,LAR,@BAL,6.0,,,,0.0,0.0,0.06,14.094111157024793,0.0,4.39,53.91,0.41
Courtland Sutton,WR,DEN,@NYJ,6.0,,,,0.0,0.0,0.06,14.016232510288066,0.0,4.15,55.78,0.41
DK Metcalf,WR,PIT,CLE,6.0,,,,0.3,0.0,0.05,14.415251136363636,0.0,4.03,57.49,0.35
Jameson Williams,WR,DET,@KC,6.0,,,,4.19,0.06,0.06,14.721706896551723,0.0,3.48,55.59,0.35
Jameson Williams,WR,DET,@KC,6.0,,,,4.19,0.06,0.06,14.721706896551723,0.0,3.48,55.59,0.35
George Pickens,WR,DAL,@CAR,6.0,,,,0.94,0.0,0.06,14.291616328828828,0.0,3.94,57.58,0.35
Calvin Ridley,WR,TEN,@LV,6.0,,,,2.72,0.0,0.06,15.2855140625,0.0,4.02,54.87,0.35
DeVonta Smith,WR,PHI,@NYG,6.0,,,,0.27,0.0,0.05,13.009625,0.0,4.44,52.15,0.33
Chris GodwinWR - T,nan,BPUP,SF,6.0,,,,0.3,0.0,0.06,5.92,0.0,4.49,49.13,0.35
Rome Odunze,WR,CHI,@WAS,6.0,,,,0.59,0.0,0.06,15.210844444444446,0.0,3.97,53.39,0.36
Jerry Jeudy,WR,CLE,@PIT,6.0,,,,0.29,0.0,0.06,13.198683333333333,0.0,4.19,55.14,0.29
Zay Flowers,WR,BAL,LAR,6.0,,,,2.52,0.0,0.06,14.071173270440251,0.0,4.09,53.75,0.29
Jauan Jennings,WR,SFQ,@TB,6.0,,,,0.0,0.0,0.06,12.683792207792209,0.0,3.97,51.82,0.36
Jakobi Meyers,WR,LV,TEN,6.0,,,,0.7,0.0,0.06,12.62509633027523,0.0,4.34,50.44,0.29
Chris Olave,WR,NO,NE,6.0,,,,0.3,0.0,0.06,12.4871421875,0.0,3.91,51.02,0.3
Brandon AiyukWR - S,nan,FPUP,@TB,6.0,,,,0.0,0.0,0.02,7.16,0.0,3.5,50.1,0.37
Jaylen Waddle,WR,MIA,LAC,6.0,,,,0.0,0.0,0.06,12.201175,0.0,3.88,51.18,0.29
Ricky Pearsall,WR,SF,@TB,6.0,,,,2.25,0.0,0.06,11.457367741935485,0.0,3.62,48.13,0.3
Matthew Golden,WR,GB,CIN,6.0,,,,1.78,0.0,0.0,5.92,0.0,3.45,47.18,0.32
Jayden Reed,WR,GBQ,CIN,6.0,,,,5.82,0.06,0.06,11.900590072859746,0.0,3.41,42.82,0.29
Khalil Shakir,WR,BUFQ,@ATL,6.0,,,,0.65,0.0,0.06,11.533521259842521,0.0,4.24,45.68,0.24
Marvin Mims Jr.,WR,DEN,@NYJ,6.0,,,,5.03,0.06,0.06,4.920000000000001,0.0,3.16,39.51,0.29
Cooper Kupp,WR,SEA,@JAX,6.0,,,,0.7,0.0,0.06,10.416733208955225,0.0,3.98,42.12,0.29
Rashid Shaheed,WR,NO,NE,6.0,,,,2.37,0.0,0.06,5.5,0.0,3.14,44.83,0.28
Darnell Mooney,WR,ATLQ,BUF,6.0,,,,0.29,0.0,0.06,12.020559579439254,0.0,3.46,47.16,0.29
Deebo Samuel Sr.,WR,WAS,CHI,6.0,,,,6.06,0.05,0.05,5.6499999999999995,0.0,3.28,41.93,0.25
Stefon Diggs,WR,NEQ,@NO,6.0,,,,0.58,0.0,0.05,10.92104585987261,0.0,3.71,41.61,0.32
Josh Downs,WR,INDQ,ARI,6.0,,,,0.99,0.0,0.06,10.232118055555556,0.0,3.8,44.34,0.23
Michael Pittman,WR,IND,ARI,6.0,,,,0.29,0.0,0.06,5.2,0.0,3.63,42.36,0.23
Luther Burden III,WR,CHI,@WAS,6.0,,,,3.16,0.07,0.07,4.83,0.0,3.16,37.6,0.27
Keon Coleman,WR,BUF,@ATL,6.0,,,,0.33,0.0,0.06,13.457160730593609,0.0,2.98,40.77,0.28
Rashod Bateman,WR,BAL,LAR,6.0,,,,0.0,0.0,0.0,10.62325,0.0,2.6,40.17,0.3
Adam Thielen,WR,CAR,DAL,6.0,,,,0.3,0.0,0.06,9.217575,0.0,3.32,36.68,0.24
Jack Bech,WR,LV,TEN,6.0,,,,0.0,0.0,0.0,4.4399999999999995,0.0,3.13,36.66,0.24
Josh Palmer,WR,BUF,@ATL,6.0,,,,0.0,0.0,0.0,9.675866666666666,0.0,2.69,36.57,0.28
Tre Harris,WR,LAC,@MIA,6.0,,,,0.2,0.0,0.05,4.05,0.0,2.86,38.9,0.2
Marquise Brown,WR,KCQ,DET,6.0,,,,0.0,0.0,0.0,4.4399999999999995,0.0,2.72,36.24,0.24
Wan'Dale Robinson,WR,NYG,PHI,6.0,,,,1.0,0.0,0.06,3.9,0.0,3.54,31.76,0.18
Keenan Allen,WR,LAC,@MIA,6.0,,,,0.37,0.0,0.06,8.249309047619047,0.0,3.02,32.98,0.25
Emeka Egbuka,WR,TB,SF,6.0,,,,0.23,0.0,0.06,4.2,0.0,2.81,36.0,0.23
Jalen McMillan,WR,TBQ,SF,6.0,,,,1.23,0.0,0.06,8.639444144144143,0.0,2.64,34.26,0.23
DeMario Douglas,WR,NE,@NO,6.0,,,,1.36,0.0,0.0,4.08,0.0,2.96,32.18,0.18
Kyle Williams,WR,NE,@NO,6.0,,,,0.0,0.0,0.0,4.4399999999999995,0.0,2.38,34.94,0.24
Alec Pierce,WR,INDQ,ARI,6.0,,,,0.0,0.0,0.0,9.976608333333335,0.0,2.17,35.61,0.23
Michael Wilson,WR,ARI,@IND,6.0,,,,0.29,0.0,0.0,8.246025531914892,0.0,2.57,30.4,0.23
Quentin Johnston,WR,LACQ,@MIA,6.0,,,,0.47,0.0,0.05,8.85583913043478,0.0,2.44,32.57,0.21
Dyami Brown,WR,JAX,SEA,6.0,,,,0.41,0.0,0.0,8.036079999999998,0.0,2.39,32.42,0.17
Cedric Tillman,WR,CLE,@PIT,6.0,,,,0.3,0.0,0.0,8.18321301369863,0.0,2.38,31.31,0.18
Darius Slayton,WR,NYG,PHI,6.0,,,,0.0,0.0,0.0,8.094789795918368,0.0,2.16,32.04,0.18
Romeo Doubs,WR,GBQ,CIN,6.0,,,,0.0,0.0,0.06,7.141811594202899,0.0,2.29,28.66,0.23
Jordan Whittington,WR,LAR,@BAL,6.0,,,,1.69,0.0,0.0,3.08,0.0,2.45,26.83,0.18
Jalen Coker,WR,CARQ,DAL,6.0,,,,0.47,0.0,0.0,7.26890625,0.0,2.3,28.92,0.18
Dontayvion Wicks,WR,GBQ,CIN,6.0,,,,0.0,0.0,0.0,6.440083333333332,0.0,2.15,27.12,0.17
Calvin Austin III,WR,PITQ,CLE,6.0,,,,0.93,0.0,0.0,6.8135310185185185,0.0,2.31,26.43,0.13
Tyler Lockett,WR,TEN,@LV,6.0,,,,0.0,0.0,0.0,6.286428571428572,0.0,2.27,24.81,0.18
DeAndre Hopkins,WR,BAL,LAR,6.0,,,,0.0,0.0,0.0,5.9371847593582885,0.0,2.13,25.42,0.18
Jalen Royals,WR,KC,DET,6.0,,,,0.0,0.0,0.0,3.08,0.0,2.13,25.07,0.18
Xavier Legette,WR,CAR,DAL,6.0,,,,1.07,0.0,0.06,6.083544897959184,0.0,2.02,25.57,0.18
Adonai Mitchell,WR,IND,ARI,6.0,,,,1.07,0.0,0.0,6.51175,0.0,1.78,25.86,0.18
Marquez Valdes-Scantling,WR,SEA,@JAX,6.0,,,,0.0,0.0,0.0,3.08,0.0,1.76,27.02,0.18
Kayshon Boutte,WR,NE,@NO,6.0,,,,0.0,0.0,0.0,6.6624186046511635,0.0,1.87,24.98,0.18
Tutu Atwell,WR,LAR,@BAL,6.0,,,,1.07,0.0,0.0,5.625916666666667,0.0,1.95,25.16,0.13
Allen Lazard,WR,NYJQ,DEN,6.0,,,,0.0,0.0,0.0,5.954866666666668,0.0,1.86,23.85,0.17
KaVontae Turpin,WR,DAL,@CAR,6.0,,,,4.62,0.06,0.06,4.70453125,0.0,1.5,19.32,0.12
Curtis Samuel,WR,BUFQ,@ATL,6.0,,,,2.23,0.0,0.0,4.101686021505377,0.0,1.86,19.04,0.19
Malachi Corley,WR,NYJ,DEN,6.0,,,,3.0,0.0,0.0,2.7199999999999998,0.0,2.06,20.24,0.12
Troy Franklin,WR,DEN,@NYJ,6.0,,,,0.24,0.0,0.0,6.458292857142858,0.0,1.66,23.02,0.18
Diontae Johnson,WR,CLE,@PIT,6.0,,,,0.0,0.0,0.06,5.53241212121212,0.0,2.07,22.46,0.12
Malik Washington,WR,MIA,LAC,6.0,,,,1.06,0.0,0.06,3.5642730769230777,0.0,1.88,19.31,0.12
Brandin Cooks,WR,NO,NE,6.0,,,,0.36,0.0,0.0,5.2592,0.0,1.79,23.25,0.12
Jalen Tolbert,WR,DAL,@CAR,6.0,,,,0.0,0.0,0.0,5.4765,0.0,1.8,21.92,0.12
Nick Westbrook-Ikhine,WR,MIA,LAC,6.0,,,,0.0,0.0,0.0,3.08,0.0,1.53,20.6,0.18
Tory Horton,WR,SEAQ,@JAX,6.0,,,,0.0,0.0,0.0,2.7199999999999998,0.0,1.73,21.39,0.12
Greg Dortch,WR,ARI,@IND,6.0,,,,2.17,0.0,0.0,4.253621621621622,0.0,1.81,16.45,0.12
Isaac TeSlaa,WR,DET,@KC,6.0,,,,0.0,0.0,0.0,2.9,0.0,1.39,20.75,0.15
Robert Woods,WR,PIT,CLE,6.0,,,,0.0,0.0,0.0,1.72,0.0,1.76,18.84,0.12
Devaughn Vele,WR,DEN,@NYJ,6.0,,,,0.18,0.0,0.0,3.859,0.0,1.81,17.85,0.12
Tre Tucker,WR,LV,TEN,6.0,,,,2.09,0.0,0.0,4.557510828025478,0.0,1.51,18.72,0.12
Jermaine Burton,WR,CINQ,@GB,6.0,,,,0.36,0.0,0.0,2.7199999999999998,0.0,1.44,20.4,0.12
Demarcus Robinson,WR,SF,@TB,6.0,,,,0.0,0.0,0.0,5.325935483870968,0.0,1.48,20.27,0.12
Elic Ayomanor,WR,TEN,@LV,6.0,,,,0.6,0.0,0.0,1.72,0.0,1.56,18.6,0.12
Noah Brown,WR,WAS,CHI,6.0,,,,0.0,0.0,0.0,3.8866000000000005,0.0,1.52,19.32,0.12
Roman Wilson,WR,PIT,CLE,6.0,,,,0.0,0.0,0.0,1.72,0.0,1.44,19.86,0.12
Andrei Iosivas,WR,CIN,@GB,6.0,,,,0.0,0.0,0.0,3.8291000000000004,0.0,1.56,18.24,0.12
Chimere Dike,WR,TEN,@LV,6.0,,,,0.7,0.0,0.0,1.72,0.0,1.35,19.26,0.12
Dont'e Thornton Jr.,WR,LV,TEN,6.0,,,,0.71,0.0,0.0,1.72,0.0,1.36,18.11,0.12
Ray-Ray McCloud,WR,ATL,BUF,6.0,,,,2.1,0.0,0.06,1.54,0.0,1.46,14.29,0.12
Olamide Zaccheaus,WR,CHI,@WAS,6.0,,,,0.18,0.0,0.0,3.7887625,0.0,1.37,14.13,0.12
Savion Williams,WR,GB,CIN,6.0,,,,1.19,0.0,0.0,1.72,0.0,1.19,14.37,0.12
Pat Bryant,WR,DEN,@NYJ,6.0,,,,0.0,0.0,0.0,1.72,0.0,1.14,13.86,0.12
Mack Hollins,WR,NE,@NO,6.0,,,,0.0,0.0,0.0,3.26,0.0,1.05,13.35,0.12
Elijah Moore,WR,BUF,@ATL,6.0,,,,0.45,0.0,0.0,3.034375683060109,0.0,1.13,12.38,0.11
Kendrick Bourne,WR,NEQ,@NO,6.0,,,,3.0,0.0,0.0,2.524,0.0,1.2,13.2,0.0
Luke McCaffrey,WR,WAS,CHI,6.0,,,,0.39,0.0,0.0,1.48,0.0,1.09,10.19,0.08
Arian Smith,WR,NYJ,DEN,6.0,,,,0.9,0.0,0.0,1.3599999999999999,0.0,0.9,10.8,0.06
Jahan Dotson,WR,PHI,@NYG,6.0,,,,0.29,0.0,0.0,1.3599999999999999,0.0,0.92,10.04,0.06
Tim Patrick,WR,DET,@KC,6.0,,,,0.0,0.0,0.0,2.7325833333333334,0.0,0.88,10.5,0.06
Kalif Raymond,WR,DET,@KC,6.0,,,,0.69,0.0,0.06,0.18,0.0,0.75,8.74,0.06
JuJu Smith-Schuster,WR,KC,DET,6.0,,,,0.0,0.0,0.0,0.36,0.0,0.84,8.64,0.06
KhaDarel Hodge,WR,ATL,BUF,6.0,,,,0.0,0.0,0.0,0.36,0.0,0.72,8.7,0.06
Xavier Restrepo,WR,TEN,@LV,6.0,,,,0.18,0.0,0.0,0.36,0.0,0.73,8.01,0.06
Van Jefferson,WR,TEN,@LV,6.0,,,,0.0,0.0,0.0,1.48495,0.0,0.73,7.82,0.06
Jalin Hyatt,WR,NYG,PHI,6.0,,,,0.0,0.0,0.0,0.36,0.0,0.61,8.86,0.06
Parker Washington,WR,JAX,SEA,6.0,,,,0.23,0.0,0.0,1.4691437499999997,0.0,0.69,7.64,0.06
Ja'Marr Chase,WR,CIN,PIT,7.0,,,,1.33,0.0,0.06,12.600000000000001,0.0,6.52,85.93,0.63
Justin Jefferson,WR,MINQ,PHI,7.0,,,,0.77,0.0,0.06,21.692912621359227,0.0,5.95,85.76,0.47
CeeDee Lamb,WR,DAL,WAS,7.0,,,,4.77,0.06,0.06,20.060709704968943,0.0,6.13,72.2,0.47
Puka Nacua,WR,LAR,@JAX,7.0,,,,4.41,0.06,0.06,20.25805633870349,0.0,5.71,72.82,0.41
Amon-Ra St. Brown,WR,DET,TB,7.0,,,,0.7,0.0,0.06,10.64,0.0,6.15,71.16,0.47
Malik Nabers,WR,NYGQ,@DEN,7.0,,,,1.99,0.0,0.06,19.054639338235294,0.0,5.79,72.56,0.45
Nico Collins,WR,HOU,@SEA,7.0,,,,0.29,0.0,0.06,19.80192524509804,0.0,5.09,74.3,0.53
Brian Thomas Jr.,WR,JAX,LAR,7.0,,,,1.01,0.0,0.06,10.52,0.0,5.34,72.45,0.45
Drake London,WR,ATL,@SF,7.0,,,,0.6,0.0,0.05,17.862983233532933,0.0,5.38,67.8,0.44
Ladd McConkey,WR,LAC,IND,7.0,,,,0.41,0.0,0.06,18.40182804878049,0.0,5.36,67.68,0.41
Tyreek Hill,WR,MIAQ,@CLE,7.0,,,,1.88,0.0,0.05,17.43132716049383,0.0,5.09,66.48,0.43
A.J. Brown,WR,PHIQ,@MIN,7.0,,,,0.0,0.0,0.06,8.16,0.0,4.73,69.07,0.39
Garrett Wilson,WR,NYJ,CAR,7.0,,,,2.14,0.0,0.06,16.392609375,0.0,5.03,63.73,0.35
Terry McLaurin,WR,WAS,@DAL,7.0,,,,0.35,0.0,0.06,16.710134146341463,0.0,4.67,65.39,0.41
Mike Evans,WR,TB,@DET,7.0,,,,0.0,0.0,0.06,15.795041891891891,0.0,4.28,61.14,0.53
DJ Moore,WR,CHI,NO,7.0,,,,2.83,0.0,0.06,15.239621173469388,0.0,4.92,60.18,0.37
Rashee Rice,WR,KC,LV,7.0,,,,0.7,0.0,0.06,15.281541666666667,0.0,4.93,55.49,0.45
Tee Higgins,WR,CIN,PIT,7.0,,,,0.0,0.0,0.06,14.275568750000001,0.0,4.59,59.19,0.45
Jaxon Smith-Njigba,WR,SEA,HOU,7.0,,,,1.7,0.0,0.06,7.92,0.0,5.16,56.95,0.35
Tetairoa McMillan,WR,CAR,@NYJ,7.0,,,,1.59,0.0,0.06,7.28,0.0,4.6,56.83,0.41
Travis Hunter,WR,JAXQ,LAR,7.0,,,,1.81,0.0,0.0,7.1,0.0,4.26,57.53,0.35
Xavier Worthy,WR,KC,LV,7.0,,,,5.45,0.06,0.06,13.417254166666668,0.0,4.03,49.75,0.41
Marvin Harrison Jr.,WR,ARI,GB,7.0,,,,0.84,0.0,0.05,7.069999999999999,0.0,4.18,58.13,0.37
Davante Adams,WR,LAR,@JAX,7.0,,,,0.0,0.0,0.06,14.094111157024793,0.0,4.39,53.91,0.41
Courtland Sutton,WR,DEN,NYG,7.0,,,,0.0,0.0,0.06,14.016232510288066,0.0,4.15,55.78,0.41
Courtland Sutton,WR,DEN,NYG,7.0,,,,0.0,0.0,0.06,14.016232510288066,0.0,4.15,55.78,0.41
DK Metcalf,WR,PIT,@CIN,7.0,,,,0.3,0.0,0.05,14.415251136363636,0.0,4.03,57.49,0.35
Jameson Williams,WR,DET,TB,7.0,,,,4.19,0.06,0.06,14.721706896551723,0.0,3.48,55.59,0.35
Jordan AddisonWR - MI,nan,NSUS,PHI,7.0,,,,1.18,0.0,0.06,6.92,0.0,4.18,54.92,0.35
George Pickens,WR,DAL,WAS,7.0,,,,0.94,0.0,0.06,14.291616328828828,0.0,3.94,57.58,0.35
Calvin Ridley,WR,TEN,NE,7.0,,,,2.72,0.0,0.06,15.2855140625,0.0,4.02,54.87,0.35
DeVonta Smith,WR,PHI,@MIN,7.0,,,,0.27,0.0,0.05,13.009625,0.0,4.44,52.15,0.33
Brandon AiyukWR - S,nan,FPUP,ATL,7.0,,,,0.0,0.0,0.02,7.340000000000001,0.0,3.7,54.4,0.4
Chris GodwinWR - T,nan,BPUP,@DET,7.0,,,,0.3,0.0,0.06,5.92,0.0,4.49,49.13,0.35
Rome Odunze,WR,CHI,NO,7.0,,,,0.59,0.0,0.06,15.210844444444446,0.0,3.97,53.39,0.36
Jerry Jeudy,WR,CLE,MIA,7.0,,,,0.29,0.0,0.06,13.198683333333333,0.0,4.19,55.14,0.29
Jauan Jennings,WR,SFQ,ATL,7.0,,,,0.0,0.0,0.06,12.683792207792209,0.0,3.97,51.82,0.36
Jakobi Meyers,WR,LV,@KC,7.0,,,,0.7,0.0,0.06,12.62509633027523,0.0,4.34,50.44,0.29
Chris Olave,WR,NO,@CHI,7.0,,,,0.3,0.0,0.06,12.4871421875,0.0,3.91,51.02,0.3
Jaylen Waddle,WR,MIA,@CLE,7.0,,,,0.0,0.0,0.06,12.201175,0.0,3.88,51.18,0.29
Ricky Pearsall,WR,SF,ATL,7.0,,,,2.25,0.0,0.06,11.457367741935485,0.0,3.62,48.13,0.3
Matthew Golden,WR,GB,@ARI,7.0,,,,1.78,0.0,0.0,5.92,0.0,3.45,47.18,0.32
Jayden Reed,WR,GBQ,@ARI,7.0,,,,5.82,0.06,0.06,11.900590072859746,0.0,3.41,42.82,0.29
Marvin Mims Jr.,WR,DEN,NYG,7.0,,,,5.03,0.06,0.06,4.920000000000001,0.0,3.16,39.51,0.29
Cooper Kupp,WR,SEA,HOU,7.0,,,,0.7,0.0,0.06,10.416733208955225,0.0,3.98,42.12,0.29
Rashid Shaheed,WR,NO,@CHI,7.0,,,,2.37,0.0,0.06,5.5,0.0,3.14,44.83,0.28
Darnell Mooney,WR,ATLQ,@SF,7.0,,,,0.29,0.0,0.06,12.020559579439254,0.0,3.46,47.16,0.29
Deebo Samuel Sr.,WR,WAS,@DAL,7.0,,,,6.06,0.05,0.05,5.6499999999999995,0.0,3.28,41.93,0.25
Stefon Diggs,WR,NEQ,@TEN,7.0,,,,0.58,0.0,0.05,10.92104585987261,0.0,3.71,41.61,0.32
Josh Downs,WR,INDQ,@LAC,7.0,,,,0.99,0.0,0.06,10.232118055555556,0.0,3.8,44.34,0.23
Christian Kirk,WR,HOU,@SEA,7.0,,,,0.66,0.0,0.07,12.251339506172837,0.0,3.5,41.02,0.29
Michael Pittman,WR,IND,@LAC,7.0,,,,0.29,0.0,0.06,5.2,0.0,3.63,42.36,0.23
Luther Burden III,WR,CHI,NO,7.0,,,,3.16,0.07,0.07,4.83,0.0,3.16,37.6,0.27
Jayden Higgins,WR,HOU,@SEA,7.0,,,,0.33,0.0,0.0,5.62,0.0,3.13,41.59,0.27
Adam Thielen,WR,CAR,@NYJ,7.0,,,,0.3,0.0,0.06,9.217575,0.0,3.32,36.68,0.24
Jack Bech,WR,LV,@KC,7.0,,,,0.0,0.0,0.0,4.4399999999999995,0.0,3.13,36.66,0.24
Tre Harris,WR,LAC,IND,7.0,,,,0.2,0.0,0.05,4.05,0.0,2.86,38.9,0.2
Marquise Brown,WR,KCQ,LV,7.0,,,,0.0,0.0,0.0,4.4399999999999995,0.0,2.72,36.24,0.24
Wan'Dale Robinson,WR,NYG,@DEN,7.0,,,,1.0,0.0,0.06,3.9,0.0,3.54,31.76,0.18
Keenan Allen,WR,LAC,IND,7.0,,,,0.37,0.0,0.06,8.249309047619047,0.0,3.02,32.98,0.25
Emeka Egbuka,WR,TB,@DET,7.0,,,,0.23,0.0,0.06,4.2,0.0,2.81,36.0,0.23
Jalen McMillan,WR,TBQ,@DET,7.0,,,,1.23,0.0,0.06,8.639444144144143,0.0,2.64,34.26,0.23
DeMario Douglas,WR,NE,@TEN,7.0,,,,1.36,0.0,0.0,4.08,0.0,2.96,32.18,0.18
Kyle Williams,WR,NE,@TEN,7.0,,,,0.0,0.0,0.0,4.4399999999999995,0.0,2.38,34.94,0.24
Alec Pierce,WR,INDQ,@LAC,7.0,,,,0.0,0.0,0.0,9.976608333333335,0.0,2.17,35.61,0.23
Michael Wilson,WR,ARI,GB,7.0,,,,0.29,0.0,0.0,8.246025531914892,0.0,2.57,30.4,0.23
Quentin Johnston,WR,LACQ,IND,7.0,,,,0.47,0.0,0.05,8.85583913043478,0.0,2.44,32.57,0.21
Dyami Brown,WR,JAX,LAR,7.0,,,,0.41,0.0,0.0,8.036079999999998,0.0,2.39,32.42,0.17
Cedric Tillman,WR,CLE,MIA,7.0,,,,0.3,0.0,0.0,8.18321301369863,0.0,2.38,31.31,0.18
Darius Slayton,WR,NYG,@DEN,7.0,,,,0.0,0.0,0.0,8.094789795918368,0.0,2.16,32.04,0.18
Romeo Doubs,WR,GBQ,@ARI,7.0,,,,0.0,0.0,0.06,7.141811594202899,0.0,2.29,28.66,0.23
Jordan Whittington,WR,LAR,@JAX,7.0,,,,1.69,0.0,0.0,3.08,0.0,2.45,26.83,0.18
Jalen Coker,WR,CARQ,@NYJ,7.0,,,,0.47,0.0,0.0,7.26890625,0.0,2.3,28.92,0.18
Jaylin Noel,WR,HOU,@SEA,7.0,,,,1.8,0.0,0.0,3.26,0.0,2.08,24.22,0.21
Dontayvion Wicks,WR,GBQ,@ARI,7.0,,,,0.0,0.0,0.0,6.440083333333332,0.0,2.15,27.12,0.17
Calvin Austin III,WR,PITQ,@CIN,7.0,,,,0.93,0.0,0.0,6.8135310185185185,0.0,2.31,26.43,0.13
Tyler Lockett,WR,TEN,NE,7.0,,,,0.0,0.0,0.0,6.286428571428572,0.0,2.27,24.81,0.18
Jalen Royals,WR,KC,LV,7.0,,,,0.0,0.0,0.0,3.08,0.0,2.13,25.07,0.18
Xavier Legette,WR,CAR,@NYJ,7.0,,,,1.07,0.0,0.06,6.083544897959184,0.0,2.02,25.57,0.18
Adonai Mitchell,WR,IND,@LAC,7.0,,,,1.07,0.0,0.0,6.51175,0.0,1.78,25.86,0.18
Marquez Valdes-Scantling,WR,SEA,HOU,7.0,,,,0.0,0.0,0.0,3.08,0.0,1.76,27.02,0.18
Kayshon Boutte,WR,NE,@TEN,7.0,,,,0.0,0.0,0.0,6.6624186046511635,0.0,1.87,24.98,0.18
Tutu Atwell,WR,LAR,@JAX,7.0,,,,1.07,0.0,0.0,5.625916666666667,0.0,1.95,25.16,0.13
Allen Lazard,WR,NYJQ,CAR,7.0,,,,0.0,0.0,0.0,5.954866666666668,0.0,1.86,23.85,0.17
KaVontae Turpin,WR,DAL,WAS,7.0,,,,4.62,0.06,0.06,4.70453125,0.0,1.5,19.32,0.12
Jalen Nailor,WR,MINQ,PHI,7.0,,,,1.05,0.0,0.0,5.87225,0.0,1.75,22.34,0.18
Malachi Corley,WR,NYJ,CAR,7.0,,,,3.0,0.0,0.0,2.7199999999999998,0.0,2.06,20.24,0.12
Troy Franklin,WR,DEN,NYG,7.0,,,,0.24,0.0,0.0,6.458292857142858,0.0,1.66,23.02,0.18
Diontae Johnson,WR,CLE,MIA,7.0,,,,0.0,0.0,0.06,5.53241212121212,0.0,2.07,22.46,0.12
Malik Washington,WR,MIA,@CLE,7.0,,,,1.06,0.0,0.06,3.5642730769230777,0.0,1.88,19.31,0.12
